Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,batchnorm,epochs,layers,lr,num_layers,relu,sensor,duration,mse_list
2023-04-23 14:23:36,52ms,6e6f37a24b9545eb8ff69a5ceb90ca9b,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 40",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,40,True,500,128_256_512_,1e-05,4,True,lidar,97.73063802719116,25.777492218017578
2023-04-23 14:28:36,51ms,494dc1fca65d42ec8ce14b922c8f063d,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 50",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,50,True,500,128_256_512_,1e-05,4,True,lidar,84.58554291725159,26.536528444290163
2023-04-23 14:33:06,52ms,32fd8b2eed1541d2aad1e0e79abdddcd,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 60",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,60,True,500,128_256_512_,1e-05,4,True,lidar,75.07633686065674,26.66866542816162
2023-04-23 15:41:01,56ms,76acefaa76c546579df902b1f71b8b2a,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 40",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,40,False,500,512_256_32_,1e-05,4,True,lidar,79.75054931640625,27.832548414866128
2023-04-23 14:35:56,54ms,7dcb00de422d40c68f0741f915a007e2,"Neural net (lidar) | layers: 5, epochs: 500, lr: 1e-05, batchsize: 40",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,40,False,500,128_256_512_1024_,1e-05,5,True,lidar,89.71222567558289,29.149081013997396
2023-04-23 15:05:14,55ms,52c8b71c81ff45e29d38dc5b2469aa00,"Neural net (lidar) | layers: 5, epochs: 500, lr: 1e-05, batchsize: 60",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,60,False,500,512_512_512_512_,1e-05,5,True,lidar,72.75970196723938,31.26451873779297
2023-04-23 15:23:19,56ms,036db97a2f8243a5a5ee6981d2a2e98d,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 60",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,60,True,500,128_64_32_,1e-05,4,True,lidar,73.93223237991333,31.87069164276123
2023-04-23 15:18:52,56ms,0b5c933d68a644dab3442e8ccb33069e,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 50",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,50,True,500,128_64_32_,1e-05,4,True,lidar,83.12894773483276,32.3635587533315
2023-04-23 15:13:56,54ms,268bc7135f3947f1886b86ba0f594578,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 40",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,40,True,500,128_64_32_,1e-05,4,True,lidar,95.01286101341248,34.79519721984863
2023-04-23 15:25:52,55ms,823f6d5fad66454eb062d3b0cb29158e,"Neural net (lidar) | layers: 4, epochs: 500, lr: 1e-05, batchsize: 40",LOCAL,c:\Users\elmer\miniconda3\envs\miw2\Lib\site-packages\ipykernel_launcher.py,admin,FINISHED,40,False,500,256_128_32_,1e-05,4,True,lidar,79.43872618675232,34.928471972147626
