,batch_size,batchnorm,epochs,layers,lr,num_layers,relu,sensor,mse_list
301,200,True,300,32_128_,0.0001,3,True,lidar,68.8220095316569
307,50,True,450,64_,0.0001,2,True,lidar,70.61920083363852
310,100,True,150,32_128_,0.0001,3,True,lidar,70.95589803059896
312,200,True,300,32_128_,7.5e-05,3,True,lidar,71.15261408487956
313,200,True,150,16_32_64_,0.0001,4,True,lidar,71.41485239664713
323,200,True,150,32_64_128_,7.5e-05,4,True,lidar,73.29091313680013
330,100,True,450,32_64_128_,1e-05,4,True,lidar,74.32486241658529
331,50,True,450,32_64_128_,7.5e-06,4,True,lidar,74.40484024683634
339,50,True,450,32_,0.0001,2,True,lidar,75.33213656743368
342,50,True,300,64_64_128_,7.5e-06,4,True,lidar,75.68418178558349
344,100,True,150,32_128_,7.5e-05,3,True,lidar,76.19612973531088
345,50,True,450,64_,7.5e-05,2,True,lidar,76.42894268035889
349,200,True,150,32_128_,0.0001,3,True,lidar,77.01514282226563
354,200,True,150,64_128_,0.0001,3,True,lidar,78.03260065714518
355,50,True,300,64_,0.0001,2,True,lidar,78.26354942321777
357,50,True,300,32_64_128_,1e-05,4,True,lidar,78.58010724385579
365,100,True,450,64_64_128_,7.5e-06,4,True,lidar,79.93547375996907
373,100,True,450,64_,0.0001,2,True,lidar,80.77783889770508
377,50,True,450,64_128_,1e-05,3,True,lidar,81.2567850112915
380,50,True,450,32_128_,1e-05,3,True,lidar,81.61682596206666
382,50,True,300,32_,0.0001,2,True,lidar,81.96505006154378
384,50,True,450,32_,7.5e-05,2,True,lidar,82.12239373524984
390,200,True,150,16_32_64_,7.5e-05,4,True,lidar,82.60231170654296
399,50,True,300,64_,7.5e-05,2,True,lidar,84.03093643188477
401,100,True,300,64_64_128_,1e-05,4,True,lidar,84.3780574798584
403,100,True,450,32_,0.0001,2,True,lidar,85.12515462239584
405,200,True,150,64_128_,7.5e-05,3,True,lidar,85.22949625651042
407,50,True,300,32_,7.5e-05,2,True,lidar,85.35938428243001
413,100,True,450,64_,7.5e-05,2,True,lidar,85.8794049580892
416,50,True,300,64_128_,1e-05,3,True,lidar,86.05654792785644
418,200,True,150,32_128_,7.5e-05,3,True,lidar,86.22745564778646
419,100,True,300,64_,0.0001,2,True,lidar,86.41903165181478
420,50,True,300,32_64_128_,7.5e-06,4,True,lidar,86.44649340311686
423,50,True,450,32_128_,7.5e-06,3,True,lidar,86.70014947255453
433,50,True,450,64_128_,7.5e-06,3,True,lidar,87.49076741536459
441,100,True,300,32_64_128_,1e-05,4,True,lidar,88.83277943929036
445,50,True,150,64_64_128_,1e-05,4,True,lidar,89.3609546661377
448,100,True,450,32_64_128_,7.5e-06,4,True,lidar,89.52974802652994
449,50,True,300,32_128_,1e-05,3,True,lidar,89.79819440841675
455,100,True,450,32_,7.5e-05,2,True,lidar,90.37585576375324
465,100,True,450,64_128_,1e-05,3,True,lidar,91.33687540690104
466,200,True,450,64_64_128_,1e-05,4,True,lidar,91.4206522623698
471,100,True,450,32_128_,1e-05,3,True,lidar,92.50470848083496
476,50,True,150,64_,0.0001,2,True,lidar,92.96508388519288
478,50,True,150,32_,0.0001,2,True,lidar,93.0497942606608
487,100,True,300,64_64_128_,7.5e-06,4,True,lidar,93.59942525227864
489,100,True,300,32_,0.0001,2,True,lidar,93.69367790222168
490,50,True,300,64_128_,7.5e-06,3,True,lidar,93.77435048421223
491,200,True,450,64_,0.0001,2,True,lidar,93.86260986328124
492,200,True,450,32_64_128_,1e-05,4,True,lidar,93.89543813069662
496,50,True,150,32_64_128_,1e-05,4,True,lidar,94.59220542907715
498,100,True,300,64_,7.5e-05,2,True,lidar,94.9989870707194
504,100,True,300,32_64_128_,7.5e-06,4,True,lidar,95.722935740153
520,50,True,150,64_64_128_,7.5e-06,4,True,lidar,97.50632775624594
521,200,True,450,32_,0.0001,2,True,lidar,97.72568868001302
524,100,True,300,64_128_,1e-05,3,True,lidar,98.37057418823242
529,200,True,450,64_,7.5e-05,2,True,lidar,98.5720937093099
534,50,True,150,64_,7.5e-05,2,True,lidar,99.26359011332194
541,100,True,300,32_,7.5e-05,2,True,lidar,100.04003639221192
542,50,True,150,32_,7.5e-05,2,True,lidar,100.18003203074136
546,50,True,150,16_32_64_,1e-05,4,True,lidar,100.40570729573568
547,100,True,450,64_128_,7.5e-06,3,True,lidar,100.45908330281576
551,50,True,300,32_128_,7.5e-06,3,True,lidar,100.8920249303182
553,200,True,300,64_,0.0001,2,True,lidar,101.06705271402994
556,200,True,450,32_,7.5e-05,2,True,lidar,101.19886678059896
557,200,True,450,64_64_128_,7.5e-06,4,True,lidar,101.26417999267578
560,100,True,150,64_,0.0001,2,True,lidar,101.56167856852214
566,50,True,150,64_128_,1e-05,3,True,lidar,101.8910987218221
574,200,True,300,32_,0.0001,2,True,lidar,103.0374303181966
582,50,True,150,32_64_128_,7.5e-06,4,True,lidar,104.16475474039711
588,100,True,450,32_128_,7.5e-06,3,True,lidar,105.41429265340167
589,100,True,150,32_,0.0001,2,True,lidar,105.68108901977538
590,50,True,150,32_128_,1e-05,3,True,lidar,105.81838099161784
594,200,True,450,32_64_128_,7.5e-06,4,True,lidar,106.35926869710286
595,200,True,300,64_,7.5e-05,2,True,lidar,106.61854044596356
599,100,True,300,32_128_,1e-05,3,True,lidar,107.94396107991535
604,50,True,150,16_32_64_,7.5e-06,4,True,lidar,108.89929745992023
605,100,True,150,64_,7.5e-05,2,True,lidar,108.96152318318686
608,100,True,150,64_64_128_,1e-05,4,True,lidar,109.30279591878256
611,100,True,150,32_64_128_,1e-05,4,True,lidar,109.53731943766276
612,200,True,450,64_128_,1e-05,3,True,lidar,109.90630238850912
618,100,True,300,64_128_,7.5e-06,3,True,lidar,111.09085032145182
621,200,True,300,32_,7.5e-05,2,True,lidar,111.37585194905598
631,100,True,150,32_,7.5e-05,2,True,lidar,112.86303100585936
634,200,True,300,64_64_128_,1e-05,4,True,lidar,114.38065694173176
637,200,True,300,32_64_128_,1e-05,4,True,lidar,114.5435551961263
644,50,True,150,32_128_,7.5e-06,3,True,lidar,115.73468780517578
650,50,True,450,64_,1e-05,2,True,lidar,116.28093948364258
656,50,True,450,32_,1e-05,2,True,lidar,116.84654954274497
659,200,True,450,32_128_,1e-05,3,True,lidar,117.1435323079427
661,50,True,150,64_128_,7.5e-06,3,True,lidar,118.65735524495445
668,200,True,150,64_,0.0001,2,True,lidar,119.97821858723958
680,50,True,450,64_,7.5e-06,2,True,lidar,123.23590558369956
684,100,True,300,32_128_,7.5e-06,3,True,lidar,124.0996541341146
686,100,True,150,64_64_128_,7.5e-06,4,True,lidar,124.47753499348958
692,200,True,150,32_,0.0001,2,True,lidar,125.17089284261068
694,50,True,300,64_,1e-05,2,True,lidar,125.502339108785
695,200,True,450,32_128_,7.5e-06,3,True,lidar,125.52489369710288
696,200,True,450,64_128_,7.5e-06,3,True,lidar,125.9083984375
697,200,True,300,64_64_128_,7.5e-06,4,True,lidar,125.9465810139974
702,200,True,150,64_,7.5e-05,2,True,lidar,127.49801483154296
705,50,True,450,32_,7.5e-06,2,True,lidar,128.44188149770102
717,200,True,150,32_,7.5e-05,2,True,lidar,130.61353556315103
718,200,True,300,64_128_,1e-05,3,True,lidar,131.43837178548176
721,100,True,450,64_,1e-05,2,True,lidar,132.33680114746093
724,200,True,300,32_64_128_,7.5e-06,4,True,lidar,132.56419779459637
725,100,True,150,32_64_128_,7.5e-06,4,True,lidar,132.67139943440756
728,50,True,300,32_,1e-05,2,True,lidar,133.30570685068767
730,100,True,150,64_128_,1e-05,3,True,lidar,133.3694056193034
736,50,True,300,64_,7.5e-06,2,True,lidar,134.8123690287272
742,100,True,450,32_,1e-05,2,True,lidar,136.9005276997884
747,100,True,150,32_128_,1e-05,3,True,lidar,137.8090067545573
749,100,True,450,64_,7.5e-06,2,True,lidar,138.91335474650066
751,200,True,300,64_128_,7.5e-06,3,True,lidar,139.51478017171223
757,50,True,300,32_,7.5e-06,2,True,lidar,140.0310516357422
763,100,True,300,64_,1e-05,2,True,lidar,141.4959587097168
768,200,True,300,32_128_,1e-05,3,True,lidar,143.13394622802736
770,50,True,150,64_,1e-05,2,True,lidar,143.700826327006
774,100,True,150,16_32_64_,1e-05,4,True,lidar,144.75461654663087
